blind_trust,equilibrium_mastery
0.0,0.8377742065298502
0.010101010101010102,0.8320557653640785
0.020202020202020204,0.8258609388005629
0.030303030303030304,0.8191551504881275
0.04040404040404041,0.8119016768783316
0.05050505050505051,0.804061553846956
0.06060606060606061,0.795593485310422
0.07070707070707072,0.786453755035502
0.08080808080808081,0.7765961430208124
0.09090909090909091,0.7659718480225843
0.10101010101010102,0.7545294180040532
0.11111111111111112,0.7422146905057325
0.12121212121212122,0.7289707451603746
0.13131313131313133,0.714737870808119
0.14141414141414144,0.6994535498997326
0.15151515151515152,0.6830524631032294
0.16161616161616163,0.6654665172444697
0.17171717171717174,0.6466248999071067
0.18181818181818182,0.6264541641812464
0.19191919191919193,0.6048783471719277
0.20202020202020204,0.5818191259444527
0.21212121212121213,0.5571960145791441
0.22222222222222224,0.5309266059170026
0.23232323232323235,0.5029268613830631
0.24242424242424243,0.473111451958469
0.25252525252525254,0.4413941529180404
0.26262626262626265,0.40768829434131254
0.27272727272727276,0.3719072686273595
0.2828282828282829,0.33396509528657303
0.29292929292929293,0.2937770421397804
0.30303030303030304,0.251260300726914
0.31313131313131315,0.20633471222199318
0.32323232323232326,0.1589235384857541
0.33333333333333337,0.10895427109008496
0.3434343434343435,0.0563594692593133
0.3535353535353536,0.0010776157445661582
0.36363636363636365,0.0
0.37373737373737376,0.0
0.38383838383838387,0.0
0.393939393939394,0.0
0.4040404040404041,0.0
0.4141414141414142,0.0
0.42424242424242425,0.0
0.43434343434343436,0.0
0.4444444444444445,0.0
0.4545454545454546,0.0
0.4646464646464647,0.0
0.4747474747474748,0.0
0.48484848484848486,0.0
0.494949494949495,0.0
0.5050505050505051,0.0
0.5151515151515152,0.0
0.5252525252525253,0.0
0.5353535353535354,0.0
0.5454545454545455,0.0
0.5555555555555556,0.0
0.5656565656565657,0.0
0.5757575757575758,0.0
0.5858585858585859,0.0
0.595959595959596,0.0
0.6060606060606061,0.0
0.6161616161616162,0.0
0.6262626262626263,0.0
0.6363636363636365,0.0
0.6464646464646465,0.0
0.6565656565656566,0.0
0.6666666666666667,0.0
0.6767676767676768,0.0
0.686868686868687,0.0
0.696969696969697,0.0
0.7070707070707072,0.0
0.7171717171717172,0.0
0.7272727272727273,0.0
0.7373737373737375,0.0
0.7474747474747475,0.0
0.7575757575757577,0.0
0.7676767676767677,0.0
0.7777777777777778,0.0
0.787878787878788,0.0
0.797979797979798,0.0
0.8080808080808082,0.0
0.8181818181818182,0.0
0.8282828282828284,0.0
0.8383838383838385,0.0
0.8484848484848485,0.0
0.8585858585858587,0.0
0.8686868686868687,0.0
0.8787878787878789,0.0
0.888888888888889,0.0
0.8989898989898991,0.0
0.9090909090909092,0.0
0.9191919191919192,0.0
0.9292929292929294,0.0
0.9393939393939394,0.0
0.9494949494949496,0.0
0.9595959595959597,0.0
0.9696969696969697,0.0
0.9797979797979799,0.0
0.98989898989899,0.0
1.0,0.0
