time,mean_mastery,mean_performance,mean_unverified_delegation,mean_trust
0,0.7667527592286224,0.9766752759228623,0.045045194056011845,0.2050560222604652
1,0.73693829713405,0.973693829713405,0.049940707290968354,0.21007007725332694
2,0.7096463234719137,0.9709646323471914,0.05268521750785053,0.21088950933353032
3,0.6854503063322411,0.968545030633224,0.05680860591551472,0.21683517924486684
4,0.6622739077822742,0.9662273907782274,0.059454741472058856,0.21998069683977098
5,0.6407457621733459,0.9640745762173346,0.06311429331302656,0.22343861326801354
6,0.6201481206022734,0.9620148120602274,0.06727120199362782,0.22830155696842486
7,0.5999552434888146,0.9599955243488815,0.06967658181495494,0.2310371762152503
8,0.5807683158297448,0.9580768315829745,0.07267030669129183,0.23342118002286166
9,0.562650460496119,0.9562650460496119,0.07613289946666417,0.23842815849483903
10,0.5447054492232589,0.9544705449223259,0.07825173733681468,0.24125300996534843
11,0.5287723631803078,0.9528772363180307,0.08024913913077844,0.2433508307530669
12,0.5143387511185867,0.9514338751118587,0.0845268367803607,0.24860140042193488
13,0.5004385301091495,0.9500438530109151,0.08887710092050048,0.2559319039929771
14,0.4861098616684508,0.9486109861668452,0.09199714981438195,0.2611454950698922
15,0.47246736899610037,0.94724673689961,0.09456503390011303,0.2643496131069646
16,0.46038804077908185,0.9460388040779083,0.0950159458125453,0.26563608583017784
17,0.4509969977388162,0.9450996997738818,0.09680805147068222,0.26822991122241857
18,0.44233679906504675,0.9442336799065045,0.09688200998071439,0.26865813349636974
19,0.43495392091312224,0.9434953920913122,0.10228054436494755,0.27359830559359577
20,0.42713292900699146,0.9427132929006992,0.10297898929443888,0.2744024432257343
21,0.4195514485991625,0.9419551448599164,0.10651726691937138,0.27939981910086553
22,0.41073230923710347,0.9410732309237104,0.1111780775939575,0.28420781780776033
23,0.4022485524615271,0.9402248552461526,0.11230069109336488,0.2848637144139378
24,0.39603842125318217,0.9396038421253181,0.11109675271523277,0.2819652116710321
25,0.39270153249531425,0.9392701532495316,0.11498112114372837,0.2861118090258322
26,0.38842713721819383,0.9388427137218196,0.11473051783561831,0.285785680415638
27,0.38478257826109435,0.9384782578261095,0.11340842926439564,0.28345002340317155
28,0.3828806585264147,0.9382880658526415,0.1140106535478391,0.2858618850543175
29,0.3807232781735411,0.9380723278173541,0.11163210271140275,0.28348103053775
30,0.3796860336994158,0.9379686033699416,0.11431545108677062,0.2876029459760406
31,0.3784675623288547,0.9378467562328855,0.1137892840474089,0.2875868277864478
32,0.37757282636813744,0.9377572826368138,0.11339336660379362,0.28806914973770326
33,0.3767245757432672,0.9376724575743268,0.11605244486207682,0.29013157208719803
34,0.37620353921132754,0.9376203539211326,0.11449576938546481,0.2879168661558786
35,0.3762688077899613,0.9376268807789961,0.11253558936909144,0.28708575302282724
36,0.37590778222552285,0.9375907782225522,0.11587751577331318,0.2891260680045651
37,0.3758275731662922,0.9375827573166293,0.11649322867795874,0.29008493125711243
38,0.3749322724183428,0.9374932272418344,0.11573103144413067,0.2880882813063648
39,0.37424799421548754,0.9374247994215489,0.11768663098616457,0.29239831091130425
40,0.3725220880699901,0.9372522088069991,0.11711646236940064,0.293124369481897
41,0.3702148245417077,0.9370214824541707,0.11486143093564995,0.288759962114321
42,0.36975769238746903,0.9369757692387469,0.11468077353282209,0.2908884312329327
43,0.36788945264573986,0.9367889452645742,0.11598236232459873,0.2929503490243367
44,0.3645123928227477,0.9364512392822748,0.11800043476044664,0.29426115753693405
45,0.3622553498260238,0.9362255349826023,0.12068528252787407,0.29754068582270604
46,0.35921679032402665,0.9359216790324028,0.1211410591516803,0.29745116978709557
47,0.35725244235633175,0.9357252442356332,0.12013987231027282,0.29541543456596275
48,0.35647126419356634,0.9356471264193567,0.12258292050147176,0.29833071312505904
49,0.3555925356157308,0.9355592535615731,0.12424771407086278,0.2996185175944428
50,0.3557818589889598,0.935578185898896,0.1245118655399803,0.29895921823085114
51,0.35586051985241335,0.9355860519852415,0.12646348330571217,0.29974500836256607
52,0.35637882303288115,0.9356378823032881,0.12677177933494382,0.29981285067256236
53,0.35720723816079564,0.9357207238160796,0.12415191348333968,0.2967474195391838
54,0.357678584368158,0.9357678584368159,0.12251132167664823,0.293837270034156
55,0.35851208053062084,0.9358512080530621,0.12347113656985312,0.29517558794036375
56,0.35914266468444356,0.9359142664684443,0.12436737376287009,0.29690979894658215
