time,K_7.5%,Y_7.5%,K_5%,Y_5%
0,0.8,0.98,0.8,0.98
1,0.7957821559797992,0.97957821559798,0.8011631215733838,0.9801163121573384
2,0.7925725275944594,0.979257252759446,0.8020234644473689,0.9802023464447369
3,0.7901301152333953,0.9790130115233395,0.8026598466431387,0.9802659846643139
4,0.788271526815893,0.9788271526815893,0.803130568620781,0.9803130568620781
5,0.7868572075302797,0.978685720753028,0.8034787543206771,0.9803478754320677
6,0.785780961158129,0.9785780961158129,0.803736301848454,0.9803736301848454
7,0.784961976176909,0.9784961976176909,0.8039268057349831,0.9803926805734983
8,0.7843387579094003,0.97843387579094,0.8040677184864894,0.980406771848649
9,0.783864511106513,0.9783864511106513,0.8041719494494312,0.9804171949449432
10,0.7835036262580184,0.9783503626258019,0.8042490474658962,0.9804249047465896
11,0.7832290058007375,0.9783229005800738,0.8043060756653397,0.980430607566534
12,0.7830200294586389,0.9783020029458639,0.8043482585343796,0.980434825853438
13,0.7828610059394543,0.9782861005939454,0.8043794605442238,0.9804379460544224
14,0.7827399947312003,0.97827399947312,0.8044025401839087,0.9804402540183909
15,0.7826479095314878,0.9782647909531488,0.8044196118331597,0.980441961183316
16,0.7825778359893056,0.9782577835989306,0.8044322394656586,0.9804432239465659
17,0.7825245125309294,0.9782524512530929,0.8044415799283277,0.9804441579928328
18,0.782483935287013,0.9782483935287013,0.8044484889227792,0.9804448488922779
19,0.7824530574562423,0.9782453057456242,0.8044535993981403,0.9804453599398141
20,0.7824295605318314,0.9782429560531831,0.8044573795370014,0.9804457379537002
21,0.7824116802130724,0.9782411680213072,0.8044601756467169,0.9804460175646716
22,0.7823980739302527,0.9782398073930253,0.8044622438854323,0.9804462243885432
23,0.7823877200358584,0.9782387720035859,0.8044637737293292,0.9804463773729329
24,0.7823798410926857,0.9782379841092685,0.8044649053309822,0.9804464905330982
25,0.7823738454988389,0.9782373845498838,0.8044657423590631,0.9804465742359063
26,0.7823692830664434,0.9782369283066443,0.8044663614956702,0.9804466361495671
27,0.7823658112186337,0.9782365811218634,0.8044668194613551,0.9804466819461355
28,0.7823631692666728,0.9782363169266672,0.8044671582114243,0.9804467158211424
29,0.7823611588357594,0.978236115883576,0.8044674087795635,0.9804467408779564
30,0.7823596289697673,0.9782359628969768,0.8044675941209051,0.9804467594120905
31,0.7823584647964859,0.9782358464796486,0.8044677312150027,0.9804467731215003
32,0.7823575789022726,0.9782357578902273,0.804467832621367,0.9804467832621367
33,0.7823569047684735,0.9782356904768473,0.8044679076300719,0.9804467907630072
34,0.782356391776773,0.9782356391776773,0.8044679631128402,0.9804467963112841
35,0.7823560014084435,0.9782356001408443,0.8044680041525779,0.9804468004152578
36,0.7823557043521122,0.9782355704352113,0.8044680345090314,0.9804468034509032
37,0.7823554783028728,0.9782355478302873,0.8044680569632262,0.9804468056963226
38,0.7823553062874895,0.9782355306287489,0.8044680735722437,0.9804468073572243
39,0.7823551753899375,0.9782355175389937,0.8044680858576746,0.9804468085857675
40,0.7823550757815839,0.9782355075781584,0.8044680949450161,0.9804468094945016
41,0.7823549999831908,0.978235499998319,0.8044681016667808,0.9804468101666781
42,0.7823549423033258,0.9782354942303326,0.8044681066387653,0.9804468106638765
43,0.7823548984110124,0.9782354898411012,0.8044681103164647,0.9804468110316464
44,0.7823548650105322,0.9782354865010532,0.8044681130368014,0.9804468113036802
45,0.7823548395939619,0.9782354839593962,0.8044681150489921,0.9804468115048992
46,0.7823548202528613,0.9782354820252861,0.804468116537378,0.9804468116537378
47,0.7823548055349757,0.9782354805534976,0.8044681176383139,0.9804468117638314
48,0.7823547943351915,0.9782354794335192,0.804468118452659,0.9804468118452659
49,0.7823547858125564,0.9782354785812556,0.8044681190550174,0.9804468119055018
50,0.782354779327136,0.9782354779327136,0.8044681195005725,0.9804468119500572
51,0.7823547743919631,0.9782354774391964,0.8044681198301427,0.9804468119830143
